Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_9 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_9 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_8 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_8 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_7 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_7 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_6 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_6 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_5 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_5 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_4 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_4 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_3 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_3 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_2 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_2 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_1 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_1 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_0 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 2   ,IsActionDenied : 0,File fingerprint : ‘åŸè
Uid : 1000  ,Path and Name : /home/konpan/Documents/Assignment3(1)/Assignment3/src_corpus/file_0 ,Time : 04:47:27 ,Date : 2021-11-25  ,Access type : 0   ,IsActionDenied : 0,File fingerprint : ‘åŸè
